GmStr_MainMenu_TextTitle	Sexy Baseball
GmStr_MainMenu_BtnStory	Story Mode
GmStr_MainMenu_BtnChallenge	Challenge Mode
GmStr_MainMenu_BtnShop	Shop
GmStr_MainMenu_BtnGallery	Gallery
GmStr_MainMenu_BtnSettings	Settings
GmStr_MainMenu_BtnLogout	Log out
GmStr_MainMenu_BtnExit	Exit

GmStr_Settings_TextTitle	Settings
GmStr_Settings_TextAudio	Audio
GmStr_Settings_TextMusic	Music
GmStr_Settings_TextLanguage	Language
GmStr_Settings_BtnBack	Back

GmStr_StoryTeam_TextTitle	Select a team
GmStr_StoryTeam_BtnSelect	Select
GmStr_StoryTeam_BtnBack	Back
GmStr_StoryTeam_TextGirlNum	Girl Num{0}

GmStr_Story_TextTitle	Select a girl
GmStr_Story_BtnSelect	Select
GmStr_Story_BtnBack	Back

GmStr_ChallengeTeam_TextTitle	Select a team
GmStr_ChallengeTeam_BtnSelect	Select
GmStr_ChallengeTeam_BtnBack	Back

GmStr_Challenge_TextTitle	Select a girl
GmStr_Challenge_BtnSelect	Play
GmStr_Challenge_BtnBack	Back

GmStr_GirlName_UnnamedGirl	Unnamed Girl

Ingame_RPS_Tie	Game tied.
Ingame_RPS_Won	You won.
Ingame_RPS_Lost	You lost.

Ingame_RoundReport_ReportFormat	{0}.
Ingame_RoundReport_OutReportFormat	{0}, Out {1}.
Ingame_RoundReport_ScoreReportFormat	{0}, Score {1}.
Ingame_RoundReport_FullReportFormat	{0}, Score {1}, Out {2}.

Ingame_PopupOutofEnergy_Desc	Out of energy.\nYou can earn more energy in the shop or watch ad.
Ingame_PopupOutofEnergy_BtnBuy	Buy
Ingame_PopupOutofEnergy_BtnWatchAd	Watch Ad
Ingame_PopupOutofEnergy_BtnExit	Exit

Ingame_PopupGameOver_Desc	Congratulation.
Ingame_PopupGameOver_BtnBack	Back

StrEM_SlotMachine_Single	Single
StrEM_SlotMachine_Double	Double
StrEM_SlotMachine_Triple	Triple
StrEM_SlotMachine_HomeRun	Home Run
StrEM_SlotMachine_StrikeOut	Strike Out
StrEM_SlotMachine_GroundOut	Ground Out
StrEM_SlotMachine_PutOut	Put Out
StrEM_SlotMachine_DoublePlay	Double Play
